Section 1 - SRA Basics,,,,,,,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference,,,,,,
Section Questions,,,,,,,,,,,,,,
1,Has your practice completed a security risk assessment (SRA) before?,,,,,,,,,,,,,
,,?,Yes.,"Continuing to complete security risk assessments will help safeguard the confidentiality, integrity, and availability of ePHI. Consider a vulnerability scan to assist in identification of technical vulnerabilities to improve your risk assessment.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 7, 10",,§164.308(a)(1)(ii)(A),2,1,,
,,,No.,"Performing a security risk assessment periodically will help safeguard the confidentiality, integrity, and availability of ePHI. Consider scheduling a vulnerability scan to assist in identification of technical vulnerabilities to improve your risk assessment.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 7, 10",,§164.308(a)(1)(ii)(A),5,0,,
,,,I don't know. ,"Performing a security risk assessment periodically will help safeguard the confidentiality, integrity, and availability of ePHI. Consider scheduling a vulnerability scan to assist in identification of technical vulnerabilities to improve your risk assessment.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 7, 10",,§164.308(a)(1)(ii)(A),5,0,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 7, 10",,§164.308(a)(1)(ii)(A),5,0,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(A),3,1,,
2,Do you review and update your SRA?,,,,,,,,,§164.308(a)(1)(ii)(A),4,0,,
,,?,Yes.,"This is the most effective option to protect the confidentiality, integrity, and availability of ePHI. Include language in your policies and procedures to review and update your risk assessment regularly.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(A),4,0,,
,,,No.,Consider reviewing and updating your security risk assessment periodically. Include language in your policies and procedures to review and update your risk assessment regularly.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(A),4,0,,
,,,I don't know. ,Consider reviewing and updating your security risk assessment periodically. Include language in your policies and procedures to review and update your risk assessment regularly.,0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 10",,,,,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(A),4,1,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(A),4,0,,
3,How often do you review and update your SRA?,,,,,,,,,§164.308(a)(1)(ii)(A),4,0,,
,,,Periodically and in response to environmental or operational changes and/or security incidents. ,"This is the most effective option to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",,§164.308(a)(1)(ii)(A),4,0,,
,,,Periodically but not in response to environmental or operational changes and/or security incidents. ,"An accurate and thorough security risk assessment should be reviewed and updated periodically, or in response to environmental or operational changes, or security incidents.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",,§164.308(a)(1)(ii)(A),4,0,,
,,,Only in response to environmental or operational changes and/or security incidents. ,"An accurate and thorough security risk assessment should be reviewed and updated periodically, or in response to environmental or operational changes, or security incidents.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",,§164.308(a)(1)(ii)(A),4,0,,
,,,"Ad hoc, without regular frequency. ","An accurate and thorough security risk assessment should be reviewed and updated periodically, or in response to environmental or operational changes, or security incidents.",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",,,,,,
,,?,I don't know. ,"Consider looking into whether your organization reviews and/or updates your SRA periodically, or in response to environmental or operational changes, or security incidents.",0,Review,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",,,,,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(A) 
NIST CSF: ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI  
HPH CPG: 1  
HICP: TV1 - Practice #10",,N/A,6,1,,
,Notes,,,,,,,,,N/A,6,0,,
4,"Do you include all information systems containing, processing, and/or transmitting ePHI in your SRA?",,,,,,,,,N/A,6,0,,
,,,"Yes. Our SRA covers all information systems that contain, process, or transmit ePHI. ","This is the most effective option to protect the confidentiality, integrity, and availability of ePHI. A comprehensive security risk assessment should include all information systems that contain, process, or transmit ePHI. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.",1,,N/A,"HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",,N/A,6,0,,
,,,No.,"Include all information systems that contain, process, or transmit ePHI in your security risk assessment. In addition, document your systems in a complete inventory. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.",0,,N/A,"HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",,N/A,6,0,,
,,,I don't know. ,"Include all information systems that contain, process, or transmit ePHI in your security risk assessment. In addition, document your systems in a complete inventory. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.",0,,N/A,"HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",,,,,,
,,,Other. ,"Include all information systems that contain, process, or transmit ePHI in your security risk assessment. In addition, document your systems in a complete inventory. Maintain a complete and accurate inventory of the Information Technology (IT) and Operational Technology (OT) assets in your organization to facilitate the implementation of optimal security controls.",0,,N/A,"HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",,§164.308(a)(1)(ii)(B),,0,,
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,N/A,"HIPAA: N/A 
NIST CSF: ID.RA, PR.DS, ID.AM 
HPH CPG: 1, 11 
HICP: TV1 - Practice #4, 5",,§164.308(a)(1)(ii)(B),,0,,
,Notes,,,,,,,,,§164.308(a)(1)(ii)(B),,0,,
5,How do you verify that that your security measures comply with current HIPAA requirements?,,,,,,,,,§164.308(a)(1)(ii)(B),,0,,
,,,We review our practice's Security Policies and Procedures and keep up to date on relevant guidance regarding protection of ePHI through listservs or other security publications.,"Security risk analysis is a foundational component of identifying and assessing ePHI risks and vulnerabilities in your practice. An accurate and thorough security risk assessment should be performed, reviewed, and updated periodically or in response to operational changes, security incidents, or the occurrence of a significant event. Additionally, consistently monitoring changes or updates to cybersecurity guidance related to ePHI protection will ensure you are aware of current requirements. ",0,,Required,"HIPAA: §164.308(a)(1)(ii)(B) 
NIST CSF: GV.RR, GV.PO, GV.OV, GV.RM 
HPH CPG: 1 
HICP: TV1 - Practice # 10",,§164.308(a)(1)(ii)(B),,0,,
