Section 3 - Security & Workforce,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
Section Questions,,,,,,,,
1,Who within your practice is responsible for developing and implementing information security policies and procedures?,,,,,,,
,,,The security officer is a member of the workforce identified by name in policy documents.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",1,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,"The role of security officer is described in our policy documentation, but the person who occupies that role is not named.","You should have a qualified and capable person appointed to the responsibility of security officer. Having a central point of contact helps ensure that information security practices are coordinated, consistent, and that the organization can be held accountable. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,A member of our workforce. ,"You should have a qualified and capable person appointed to the responsibility of security officer. Having a central point of contact helps ensure that information security practices are coordinated, consistent, and that the organization can be held accountable. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,The security officer is not formally named or otherwise identified in policy.,"You should have a qualified and capable person appointed to the responsibility of security officer. Having a central point of contact helps ensure that information security practices are coordinated, consistent, and that the organization can be held accountable. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,Other.,"You should have a qualified and capable person appointed to the responsibility of security officer. Having a central point of contact helps ensure that information security practices are coordinated, consistent, and that the organization can be held accountable. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS, ID.AM 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,Notes,,,,,,,
2,Do you identify and document the role and responsibilities of the security officer?,,,,,,,
,,,"Yes. The security officer is identified by role and this is documented in our practice's information security policies, which describes the role's responsibilities.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",1,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,"Yes. Our practice has a security officer, but there is no formal documentation of the position or the responsibilities. ","You should document who is responsible for coordinating information security activities. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,No. We have not identified the role of the security officer.,"You should document who is responsible for coordinating information security activities. Describe cybersecurity roles and responsibilities throughout the organization, including who is responsible for implementing security practices and setting and establishing policy.",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO, PR.PS 
HPH CPG: 4 
HICP: TV1 - Practice # 10"
,Notes,,,,,,,
3,Is your security officer qualified for the position?,,,,,,,
,,,"Yes. The security officer is an assigned member of the workforce familiar with security and has the authority to design, implement, and enforce security policies and procedures.","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: N/A 
HICP: TV1 - Practice # 8"
,,,"No. The security officer does not have the ability to design, implement, and enforce security policies and procedures.  ",Assign responsibility of the security officer to a member of the workforce with the ability to ensure security policies are effective and followed consistently.,0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: N/A 
HICP: TV1 - Practice # 8"
,,,I don't know. We have not considered what qualifications would be appropriate for the security officer.,Assign responsibility of the security officer to a member of the workforce with the ability to ensure security policies are effective and followed consistently.,0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: N/A 
HICP: TV1 - Practice # 8"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: N/A 
HICP: TV1 - Practice # 8"
,Notes,,,,,,,
4,Do workforce members know who the security officer is?,,,,,,,
,,,Yes. Workforce members are aware of who our security officer is. ,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI.",1,,Required,"HIPAA: §164.308(a)(2) 
NIST CSF: PR.AT, DE.AE, GV.RR, RS.CO 
HPH CPG: 4 
HICP: N/A"
