Section 4 - Security & Data,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
Section Questions,,,,,,,,
1,"Do you manage and control personnel access to ePHI, systems, and facilities?",,,,,,,
,,,Yes.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. It is essential to protect user accounts to mitigate the risk of cyber threats.",1,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR 
HPH CPG: 6 
HICP: TV1 - Practice #2, 3"
,,,No.,"Consider implementing policies and procedures to determine, authorize, and control access of workforce members to ePHI, systems, and facilities as appropriate. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. It is essential to protect user accounts to mitigate the risk of cyber threats.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR 
HPH CPG: 6 
HICP: TV1 - Practice #2, 3"
,,,I don't know. ,"Consider looking into whether you have policies and procedures to determine, authorize, and control access of workforce members to ePHI, systems, and facilities as appropriate. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. It is essential to protect user accounts to mitigate the risk of cyber threats.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR 
HPH CPG: 6 
HICP: TV1 - Practice #2, 3"
,,,We manage and control personnel access to some but not all. ,"Consider implementing policies and procedures to determine, authorize, and control access of workforce members to ePHI, systems, and facilities as appropriate. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. It is essential to protect user accounts to mitigate the risk of cyber threats.",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR 
HPH CPG: 6 
HICP: TV1 - Practice #2, 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR 
HPH CPG: 6 
HICP: TV1 - Practice #2, 3"
,Notes,,,,,,,
2,"How do you manage and control personnel access to ePHI, systems, and facilities?",,,,,,,
,,,Detailed log of personnel and access levels based on role. Updates are reviewed by the security officer.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Implement single sign-on systems that automatically manage access to all software and tools once users have signed onto the network. Such systems allow the organization to centrally maintain and monitor access.",1,,Required,"HIPAA: §164.308(a)(3)(i) 
NIST CSF: PR.AT, PR.PS, PR.AA, PR.IR
HPH CPG: 3, 6 
HICP: TV1 - Practice #2, 3"
