Section 5 - Security and the Practice,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
Section Questions,,,,,,,,
1,"Do you manage access to and use of your facility or facilities (i.e., that house information systems and ePHI)?",,,,,,,
,,,Yes. We have written procedures in place restricting access to and use of our facilities.,"This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",1,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7 
HICP: TV1 - Practice # 6"
,,,"Yes. Authorization of access to and use of our facilities is verbally communicated, but we do not have written procedures.","Consider implementing documented procedures to govern access to facilities. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",0,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7 
HICP: TV1 - Practice # 6"
,,,No. We do not have a process to restrict access to our facilities.,"Consider implementing documented procedures to govern access to facilities. Just as network devices need to be secured, physical access to the server and network equipment should be restricted to IT professionals. Configure physical rooms and wireless networks to allow internet access only.",0,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7 
HICP: TV1 - Practice # 6"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: §164.310(a)(1) 
NIST CSF: ID.RA, PR.AA, PR.IR, DE.CM, PR.PS 
HPH CPG: 7 
HICP: TV1 - Practice # 6"
,Notes,,,,,,,
2,What physical protections do you have in place to manage facility security risks?,,,,,,,
,,,"We have methods for controlling and managing physical access to our facility, such as keypads, locks, and security cameras, as well as documented physical protection assessments in place for each of our facilities. We also have an inventory of our practice's facilities that house equipment that create, maintain, receive, and transmit ePHI. Our policies and procedures outline managements' involvement in facility access control and how authorization credentials for facility access are issued and removed for our workforce members and/or visitors. Workforce members' roles and responsibilities in facility access control procedures are documented and communicated. ","This is the most effective option among those provided to protect the confidentiality, integrity, and availability of ePHI. Always keep data and network closets locked. Grant access using badge readers rather than traditional key locks. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",1,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
,,,We have written procedures documenting our managements' involvement in facility access control procedures.,"Ensure only authorized access to ePHI and facilities is allowed by implementing policies and procedures to limit physical access systems and facilities housing ePHI. Consider implementing policies and procedures to safeguard the facility and equipment from unauthorized tampering, theft, or physical access. Always keep data and network closets locked. Grant access using badge readers rather than traditional key locks. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
,,,We have written procedures documenting how authorization credentials for facility access are issued and removed for our workforce members and/or visitors.,"Ensure only authorized access to ePHI and facilities is allowed by implementing policies and procedures to limit physical access systems and facilities housing ePHI. Consider implementing policies and procedures to safeguard the facility and equipment from unauthorized tampering, theft, or physical access. Always keep data and network closets locked. Grant access using badge readers rather than traditional key locks. Disable physical network ports that are not in use. Maintain physical network ports as inactive until an activation request is authorized. This minimizes the risk of an unauthorized user ""plugging in"" to an empty port to access to your network. In conference rooms or waiting areas, establish guest networks that separate organizational data and systems. This separation will limit the accessibility of private data from guests visiting the organization. Validate that guest networks are configured to access authorized guest services only.",0,,Addressable,"HIPAA: §164.310(a)(2)(ii) 
NIST CSF: ID.AM, PR.AA, PR.IR, PR.DS, DE.CM 
HPH CPG: 7, 16 
HICP: TV1 - Practice # 6"
