Section 6 - Security and Business Associates,,,,,,,,
Question #,Question Text,Indicator,Question Responses,Education,Risk,Risk Indicated,Required?,Reference
Section Questions,,,,,,,,
1,Do you contract with business associates or other third-party vendors?,,,,,,,
,,,Yes.,Make sure all business associates and third-party vendors have been evaluated to determine whether or not they require a Business Associate Agreement.,1,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,No.,"If you don't have expertise to perform operational, security, or other tasks, contracting with third-party vendors and business associates can augment your practice's capabilities.",0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,I don't know.,"If you don't have expertise to perform operational, security, or other tasks, contracting with third-party vendors and business associates can augment your practice's capabilities.",0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,Flag this question for later.,"This question will be marked as an area for review and will be included in the ""Flagged Questions"" report. ",0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,Notes,,,,,,,
2,Do you allow third-party vendors to access your information systems and/or ePHI?,,,,,,,
,,,Yes.,"Make sure all business associates and third-party vendors have been evaluated to determine whether or not they require a Business Associate Agreement. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. It is essential to protect user accounts to mitigate the risk of cyber threats.",1,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
,,,No. ,"Working with business associates and third-party vendors can be beneficial to your practice, as long as reasonable and appropriate security precautions are taken for business associates accessing ePHI. User accounts enable organizations to control and monitor each user's access to and activities on devices, EHRs, e-mail, and other third-party software systems. It is essential to protect user accounts to mitigate the risk of cyber threats.",0,,Required,"HIPAA: N/A 
NIST CSF: GV.RR, GV.PO, GV.OV 
HPH CPG: 10 
HICP: TV1 - Practice # 3"
