Section,Question,Testing,Response
Section 1: Install and Maintain Network Security Controls  ,,,In Place/In Place with CCW/In Place with Remediation/Not Applicable/Not Tested/Not in Place
1.1,Processes and mechanisms for installing and maintaining network security controls are defined and understood.,,
1.1.1,"Are network security policies and procedures documented, updated, and communicated?",Review policy documents and interview relevant personnel.,
1.1.2,Are roles and responsibilities for network security activities documented and assigned?,Examine responsibility documentation and interview responsible personnel.,
1.2,Are network security controls configured and maintained properly?,,
1.2.1,Are configuration standards defined and implemented for network security rulesets?,Examine configuration standards and review system configuration settings.,
1.2.2,Are changes to network connections and network security control (NSC) configurations approved and managed through a defined change control process?,"Examine documented procedures, review network configurations, check change control records, and interview responsible personnel.",
1.2.3,"Are accurate network diagrams maintained showing all connections between the cardholder data environment (CDE) and other networks, including wireless networks?","Examine network diagrams, review network configurations, and interview responsible personnel.",
1.2.4,Are accurate data-flow diagrams maintained showing all account data flows across systems and networks?,"Examine data-flow diagrams, observe network configurations, review documentation, and interview responsible personnel.",
1.2.5,"Are all allowed services, protocols, and ports identified, approved, and justified with a defined business need?",Review documentation and examine system configuration settings.,
1.2.6,"Are security controls implemented to mitigate risks for insecure services, protocols, and ports?",Review documentation and examine configuration settings,
1.2.7,Are network security control configurations reviewed at least every six months for relevance and effectiveness?,"Examine documented procedures, review records of configuration reviews, and examine configuration settings",
1.2.8,Are configuration files for network security controls protected from unauthorized access and kept consistent with active network configurations?,Examine network security control configuration files.,
1.3, Network access to and from the cardholder data environment is restricted.,,
1.3.1,"Is inbound traffic to the Cardholder Data Environment (CDE) restricted to only necessary traffic, with all other traffic denied by default?",Examine NSC configuration standards and review NSC configuration settings.,
1.3.2,"Is outbound traffic from the Cardholder Data Environment (CDE) restricted to only necessary traffic, with all other traffic denied by default?",Examine NSC configuration standards and review NSC configuration settings.,
1.3.3,Are network security controls implemented between wireless networks and the CDE to restrict unauthorized wireless traffic?,Examine configuration settings and review network diagrams.,
1.4,Network connections between trusted and untrusted networks are controlled.,,
1.4.1,Are network security controls implemented between trusted and untrusted networks?,"Examine NSC configuration standards, review current network diagrams, and examine network configurations",
1.4.2,"Is inbound traffic from untrusted networks restricted to only authorized services and stateful responses, with all other traffic denied?",Examine NSC documentation and review NSC configuration settings.,
1.4.3,Are anti-spoofing controls implemented to detect and block forged source IP addresses entering the trusted network?,Examine NSC documentation and review NSC configuration settings.,
